ctgry_nm,n_items,median_cv,mean_cv,sd_cv,iqr_cv,q10,q90,skewness,kurtosis
특용작물,54.0,0.39017045692462915,0.42539839799609813,0.2580302491952023,0.41069912119856644,0.13009545878020037,0.7058832188054872,0.7146737162665272,-0.15880176794165557
채소류,210.0,0.3890778164282025,0.4332493387728744,0.243102889555558,0.36815449379530873,0.15035818391244996,0.7124691525884382,0.6005562441057226,-0.15575189326840588
수산물,109.0,0.33838255568843606,0.36491631099419686,0.20576959795270455,0.31614908575397643,0.1101912546456566,0.6247289493848026,0.29792605680299306,-0.5774130630042102
과일류,90.0,0.324673526481772,0.3568179203197647,0.23812221402749803,0.3851771916683021,0.07513032580856098,0.6633193205772882,0.4888502715820938,-0.6028621860018033
식량작물,52.0,0.23336134280028697,0.3874758277445681,0.29247699072270233,0.5114696601795212,0.08309944770386925,0.7656091887910272,0.49412023395359983,-1.0779939569517814
식품,21.0,0.14039968568309394,0.1832820291729869,0.14361124388454174,0.13796321680641838,0.037190542577516625,0.43301270189221935,0.8668128323777881,-0.5042235889761413
