"fact_id","exmn_ymd","item_cd","mrkt_cd","ctgry_cd","ctgry_nm","item_nm","price","price_type","created_at"
642,20240102,141,240401,100,식량작물,콩,5590.0,retail,"2026-01-29 10:22:18"
643,20240102,141,240402,100,식량작물,콩,4790.0,retail,"2026-01-29 10:22:18"
644,20240102,141,250112,100,식량작물,콩,4250.0,retail,"2026-01-29 10:22:18"
645,20240102,141,250402,100,식량작물,콩,4790.0,retail,"2026-01-29 10:22:18"
646,20240102,141,250403,100,식량작물,콩,4790.0,retail,"2026-01-29 10:22:18"
647,20240102,141,310001,100,식량작물,콩,4510.0,retail,"2026-01-29 10:22:18"
648,20240102,141,310402,100,식량작물,콩,4000.0,retail,"2026-01-29 10:22:18"
649,20240102,141,320001,100,식량작물,콩,3570.0,retail,"2026-01-29 10:22:18"
650,20240102,141,330001,100,식량작물,콩,4330.0,retail,"2026-01-29 10:22:18"
651,20240102,141,330401,100,식량작물,콩,3600.0,retail,"2026-01-29 10:22:18"
652,20240102,141,350001,100,식량작물,콩,3500.0,retail,"2026-01-29 10:22:18"
653,20240102,141,350401,100,식량작물,콩,3980.0,retail,"2026-01-29 10:22:18"
654,20240102,141,360401,100,식량작물,콩,4790.0,retail,"2026-01-29 10:22:18"
655,20240102,141,370401,100,식량작물,콩,4790.0,retail,"2026-01-29 10:22:18"
656,20240102,141,372401,100,식량작물,콩,3980.0,retail,"2026-01-29 10:22:18"
657,20240102,141,380001,100,식량작물,콩,4400.0,retail,"2026-01-29 10:22:18"
658,20240102,141,260001,100,식량작물,콩,4380.0,retail,"2026-01-29 10:22:18"
659,20240102,141,390001,100,식량작물,콩,4510.0,retail,"2026-01-29 10:22:18"
660,20240102,141,110408,100,식량작물,콩,4790.0,retail,"2026-01-29 10:22:18"
661,20240102,141,370001,100,식량작물,콩,4340.0,retail,"2026-01-29 10:22:18"
662,20240102,141,110213,100,식량작물,콩,4700.0,retail,"2026-01-29 10:22:18"
663,20240102,141,380402,100,식량작물,콩,3980.0,retail,"2026-01-29 10:22:18"
664,20240102,141,360402,100,식량작물,콩,4450.0,retail,"2026-01-29 10:22:18"
665,20240102,141,270101,100,식량작물,콩,3980.0,retail,"2026-01-29 10:22:18"
666,20240102,141,321411,100,식량작물,콩,4790.0,retail,"2026-01-29 10:22:18"
667,20240102,141,220024,100,식량작물,콩,3640.0,retail,"2026-01-29 10:22:18"
668,20240102,141,310404,100,식량작물,콩,3920.0,retail,"2026-01-29 10:22:18"
669,20240102,141,340401,100,식량작물,콩,3980.0,retail,"2026-01-29 10:22:18"
670,20240102,141,110409,100,식량작물,콩,7550.0,retail,"2026-01-29 10:22:18"
671,20240102,141,390403,100,식량작물,콩,4790.0,retail,"2026-01-29 10:22:18"
672,20240102,141,260402,100,식량작물,콩,4240.0,retail,"2026-01-29 10:22:18"
673,20240102,141,210404,100,식량작물,콩,5200.0,retail,"2026-01-29 10:22:18"
674,20240102,141,220404,100,식량작물,콩,4790.0,retail,"2026-01-29 10:22:18"
675,20240102,141,310406,100,식량작물,콩,3980.0,retail,"2026-01-29 10:22:18"
676,20240102,141,310407,100,식량작물,콩,4490.0,retail,"2026-01-29 10:22:18"
677,20240102,141,110411,100,식량작물,콩,2960.0,retail,"2026-01-29 10:22:18"
678,20240102,142,110212,100,식량작물,팥,5750.0,retail,"2026-01-29 10:22:18"
679,20240102,142,110402,100,식량작물,팥,7130.0,retail,"2026-01-29 10:22:18"
680,20240102,142,110403,100,식량작물,팥,7980.0,retail,"2026-01-29 10:22:18"
681,20240102,142,110406,100,식량작물,팥,6640.0,retail,"2026-01-29 10:22:18"
682,20240102,142,210022,100,식량작물,팥,7390.0,retail,"2026-01-29 10:22:18"
683,20240102,142,210401,100,식량작물,팥,9980.0,retail,"2026-01-29 10:22:18"
684,20240102,142,210402,100,식량작물,팥,11900.0,retail,"2026-01-29 10:22:18"
685,20240102,142,220403,100,식량작물,팥,7130.0,retail,"2026-01-29 10:22:18"
686,20240102,142,230036,100,식량작물,팥,7330.0,retail,"2026-01-29 10:22:18"
687,20240102,142,230401,100,식량작물,팥,8740.0,retail,"2026-01-29 10:22:18"
688,20240102,142,240121,100,식량작물,팥,7450.0,retail,"2026-01-29 10:22:18"
689,20240102,142,240401,100,식량작물,팥,9980.0,retail,"2026-01-29 10:22:18"
690,20240102,142,240402,100,식량작물,팥,8740.0,retail,"2026-01-29 10:22:18"
691,20240102,142,250112,100,식량작물,팥,8430.0,retail,"2026-01-29 10:22:18"
692,20240102,142,250402,100,식량작물,팥,8740.0,retail,"2026-01-29 10:22:18"
693,20240102,142,250403,100,식량작물,팥,9980.0,retail,"2026-01-29 10:22:18"
694,20240102,142,310001,100,식량작물,팥,7830.0,retail,"2026-01-29 10:22:18"
695,20240102,142,310402,100,식량작물,팥,7400.0,retail,"2026-01-29 10:22:18"
696,20240102,142,320001,100,식량작물,팥,6880.0,retail,"2026-01-29 10:22:18"
697,20240102,142,330001,100,식량작물,팥,7660.0,retail,"2026-01-29 10:22:18"
698,20240102,142,330401,100,식량작물,팥,5760.0,retail,"2026-01-29 10:22:18"
699,20240102,142,350001,100,식량작물,팥,6000.0,retail,"2026-01-29 10:22:18"
700,20240102,142,350401,100,식량작물,팥,7980.0,retail,"2026-01-29 10:22:18"
701,20240102,142,360401,100,식량작물,팥,6200.0,retail,"2026-01-29 10:22:18"
702,20240102,142,370401,100,식량작물,팥,8740.0,retail,"2026-01-29 10:22:18"
703,20240102,142,372401,100,식량작물,팥,7980.0,retail,"2026-01-29 10:22:18"
704,20240102,142,380001,100,식량작물,팥,7320.0,retail,"2026-01-29 10:22:18"
705,20240102,142,260001,100,식량작물,팥,7400.0,retail,"2026-01-29 10:22:18"
706,20240102,142,390001,100,식량작물,팥,6840.0,retail,"2026-01-29 10:22:18"
707,20240102,142,110408,100,식량작물,팥,8740.0,retail,"2026-01-29 10:22:18"
708,20240102,142,370001,100,식량작물,팥,7500.0,retail,"2026-01-29 10:22:18"
709,20240102,142,110213,100,식량작물,팥,8800.0,retail,"2026-01-29 10:22:18"
710,20240102,142,380402,100,식량작물,팥,7980.0,retail,"2026-01-29 10:22:18"
711,20240102,142,360402,100,식량작물,팥,6500.0,retail,"2026-01-29 10:22:18"
712,20240102,142,270101,100,식량작물,팥,7980.0,retail,"2026-01-29 10:22:18"
713,20240102,142,321411,100,식량작물,팥,7130.0,retail,"2026-01-29 10:22:18"
714,20240102,142,220024,100,식량작물,팥,7050.0,retail,"2026-01-29 10:22:18"
715,20240102,142,310404,100,식량작물,팥,6960.0,retail,"2026-01-29 10:22:18"
716,20240102,142,310405,100,식량작물,팥,7990.0,retail,"2026-01-29 10:22:18"
717,20240102,142,340401,100,식량작물,팥,7980.0,retail,"2026-01-29 10:22:18"
718,20240102,142,110409,100,식량작물,팥,9800.0,retail,"2026-01-29 10:22:18"
719,20240102,142,390403,100,식량작물,팥,8740.0,retail,"2026-01-29 10:22:18"
720,20240102,142,260402,100,식량작물,팥,8400.0,retail,"2026-01-29 10:22:18"
721,20240102,142,380403,100,식량작물,팥,9980.0,retail,"2026-01-29 10:22:18"
722,20240102,142,210404,100,식량작물,팥,9900.0,retail,"2026-01-29 10:22:18"
723,20240102,142,220404,100,식량작물,팥,8740.0,retail,"2026-01-29 10:22:18"
724,20240102,142,110410,100,식량작물,팥,5650.0,retail,"2026-01-29 10:22:18"
725,20240102,142,310406,100,식량작물,팥,7980.0,retail,"2026-01-29 10:22:18"
726,20240102,142,310407,100,식량작물,팥,6480.0,retail,"2026-01-29 10:22:18"
727,20240102,142,110411,100,식량작물,팥,6160.0,retail,"2026-01-29 10:22:18"
728,20240102,143,110212,100,식량작물,녹두,9500.0,retail,"2026-01-29 10:22:18"
729,20240102,143,110402,100,식량작물,녹두,12480.0,retail,"2026-01-29 10:22:18"
730,20240102,143,110403,100,식량작물,녹두,10240.0,retail,"2026-01-29 10:22:18"
731,20240102,143,110406,100,식량작물,녹두,11120.0,retail,"2026-01-29 10:22:18"
732,20240102,143,210022,100,식량작물,녹두,8750.0,retail,"2026-01-29 10:22:18"
733,20240102,143,210401,100,식량작물,녹두,12480.0,retail,"2026-01-29 10:22:18"
734,20240102,143,220403,100,식량작물,녹두,12480.0,retail,"2026-01-29 10:22:18"
735,20240102,143,230036,100,식량작물,녹두,10700.0,retail,"2026-01-29 10:22:18"
736,20240102,143,230401,100,식량작물,녹두,14500.0,retail,"2026-01-29 10:22:18"
737,20240102,143,240121,100,식량작물,녹두,9070.0,retail,"2026-01-29 10:22:18"
738,20240102,143,240401,100,식량작물,녹두,12480.0,retail,"2026-01-29 10:22:18"
739,20240102,143,240402,100,식량작물,녹두,14500.0,retail,"2026-01-29 10:22:18"
740,20240102,143,250112,100,식량작물,녹두,10100.0,retail,"2026-01-29 10:22:18"
741,20240102,143,250402,100,식량작물,녹두,14500.0,retail,"2026-01-29 10:22:18"
742,20240102,143,250403,100,식량작물,녹두,12480.0,retail,"2026-01-29 10:22:18"
743,20240102,143,310001,100,식량작물,녹두,8500.0,retail,"2026-01-29 10:22:18"
744,20240102,143,310402,100,식량작물,녹두,11200.0,retail,"2026-01-29 10:22:18"
745,20240102,143,320001,100,식량작물,녹두,8930.0,retail,"2026-01-29 10:22:18"
746,20240102,143,330001,100,식량작물,녹두,11000.0,retail,"2026-01-29 10:22:18"
747,20240102,143,330401,100,식량작물,녹두,10000.0,retail,"2026-01-29 10:22:18"
748,20240102,143,350001,100,식량작물,녹두,8160.0,retail,"2026-01-29 10:22:18"
749,20240102,143,350401,100,식량작물,녹두,10240.0,retail,"2026-01-29 10:22:18"
750,20240102,143,360401,100,식량작물,녹두,12480.0,retail,"2026-01-29 10:22:18"
751,20240102,143,370401,100,식량작물,녹두,14500.0,retail,"2026-01-29 10:22:18"
752,20240102,143,372401,100,식량작물,녹두,10240.0,retail,"2026-01-29 10:22:18"
753,20240102,143,380001,100,식량작물,녹두,10900.0,retail,"2026-01-29 10:22:18"
754,20240102,143,260001,100,식량작물,녹두,10700.0,retail,"2026-01-29 10:22:18"
755,20240102,143,390001,100,식량작물,녹두,8100.0,retail,"2026-01-29 10:22:18"
756,20240102,143,110408,100,식량작물,녹두,14500.0,retail,"2026-01-29 10:22:18"
757,20240102,143,370001,100,식량작물,녹두,10800.0,retail,"2026-01-29 10:22:18"
758,20240102,143,380402,100,식량작물,녹두,10240.0,retail,"2026-01-29 10:22:18"
759,20240102,143,360402,100,식량작물,녹두,12700.0,retail,"2026-01-29 10:22:18"
760,20240102,143,270101,100,식량작물,녹두,10240.0,retail,"2026-01-29 10:22:18"
761,20240102,143,321411,100,식량작물,녹두,12480.0,retail,"2026-01-29 10:22:18"
762,20240102,143,220024,100,식량작물,녹두,10000.0,retail,"2026-01-29 10:22:18"
763,20240102,143,310404,100,식량작물,녹두,9040.0,retail,"2026-01-29 10:22:18"
764,20240102,143,390403,100,식량작물,녹두,14500.0,retail,"2026-01-29 10:22:18"
765,20240102,143,260402,100,식량작물,녹두,8800.0,retail,"2026-01-29 10:22:18"
766,20240102,143,380403,100,식량작물,녹두,12480.0,retail,"2026-01-29 10:22:18"
767,20240102,143,210404,100,식량작물,녹두,13900.0,retail,"2026-01-29 10:22:18"
768,20240102,143,220404,100,식량작물,녹두,14500.0,retail,"2026-01-29 10:22:18"
769,20240102,143,310406,100,식량작물,녹두,10240.0,retail,"2026-01-29 10:22:18"
770,20240102,143,310407,100,식량작물,녹두,14680.0,retail,"2026-01-29 10:22:18"
771,20240102,143,110411,100,식량작물,녹두,11270.0,retail,"2026-01-29 10:22:18"
773,20240102,151,110402,100,식량작물,고구마,5490.0,retail,"2026-01-29 10:22:18"
774,20240102,151,110403,100,식량작물,고구마,5980.0,retail,"2026-01-29 10:22:18"
775,20240102,151,110406,100,식량작물,고구마,3980.0,retail,"2026-01-29 10:22:18"
777,20240102,151,210401,100,식량작물,고구마,5490.0,retail,"2026-01-29 10:22:18"
778,20240102,151,210402,100,식량작물,고구마,5260.0,retail,"2026-01-29 10:22:18"
779,20240102,151,220403,100,식량작물,고구마,5490.0,retail,"2026-01-29 10:22:18"
781,20240102,151,230401,100,식량작물,고구마,4990.0,retail,"2026-01-29 10:22:18"
783,20240102,151,240401,100,식량작물,고구마,5490.0,retail,"2026-01-29 10:22:18"
784,20240102,151,240402,100,식량작물,고구마,4990.0,retail,"2026-01-29 10:22:18"
786,20240102,151,250402,100,식량작물,고구마,4990.0,retail,"2026-01-29 10:22:18"
787,20240102,151,250403,100,식량작물,고구마,5490.0,retail,"2026-01-29 10:22:18"
789,20240102,151,310402,100,식량작물,고구마,3800.0,retail,"2026-01-29 10:22:18"
791,20240102,151,330001,100,식량작물,고구마,5000.0,retail,"2026-01-29 10:22:18"
792,20240102,151,330401,100,식량작물,고구마,3980.0,retail,"2026-01-29 10:22:18"
794,20240102,151,350401,100,식량작물,고구마,5980.0,retail,"2026-01-29 10:22:18"
795,20240102,151,360401,100,식량작물,고구마,5490.0,retail,"2026-01-29 10:22:18"
796,20240102,151,370401,100,식량작물,고구마,4990.0,retail,"2026-01-29 10:22:18"
797,20240102,151,372401,100,식량작물,고구마,5980.0,retail,"2026-01-29 10:22:18"
800,20240102,151,390001,100,식량작물,고구마,5000.0,retail,"2026-01-29 10:22:18"
801,20240102,151,110408,100,식량작물,고구마,4990.0,retail,"2026-01-29 10:22:18"
802,20240102,151,370001,100,식량작물,고구마,4330.0,retail,"2026-01-29 10:22:18"
804,20240102,151,380402,100,식량작물,고구마,4650.0,retail,"2026-01-29 10:22:18"
806,20240102,151,270101,100,식량작물,고구마,5980.0,retail,"2026-01-29 10:22:18"
807,20240102,151,321411,100,식량작물,고구마,5490.0,retail,"2026-01-29 10:22:18"
809,20240102,151,310404,100,식량작물,고구마,3980.0,retail,"2026-01-29 10:22:18"
810,20240102,151,310405,100,식량작물,고구마,4660.0,retail,"2026-01-29 10:22:18"
811,20240102,151,340401,100,식량작물,고구마,5980.0,retail,"2026-01-29 10:22:18"
812,20240102,151,110409,100,식량작물,고구마,4530.0,retail,"2026-01-29 10:22:18"
813,20240102,151,390403,100,식량작물,고구마,4990.0,retail,"2026-01-29 10:22:18"
814,20240102,151,260402,100,식량작물,고구마,3990.0,retail,"2026-01-29 10:22:18"
815,20240102,151,380403,100,식량작물,고구마,5490.0,retail,"2026-01-29 10:22:18"
817,20240102,151,220404,100,식량작물,고구마,4990.0,retail,"2026-01-29 10:22:18"
818,20240102,151,110410,100,식량작물,고구마,5320.0,retail,"2026-01-29 10:22:18"
819,20240102,151,310406,100,식량작물,고구마,5980.0,retail,"2026-01-29 10:22:18"
820,20240102,151,310407,100,식량작물,고구마,4300.0,retail,"2026-01-29 10:22:18"
821,20240102,151,110411,100,식량작물,고구마,4500.0,retail,"2026-01-29 10:22:18"
822,20240102,151,110212,100,식량작물,고구마,5000.0,retail,"2026-01-29 10:22:18"
823,20240102,151,210022,100,식량작물,고구마,4000.0,retail,"2026-01-29 10:22:18"
824,20240102,151,230036,100,식량작물,고구마,4000.0,retail,"2026-01-29 10:22:18"
825,20240102,151,240121,100,식량작물,고구마,4000.0,retail,"2026-01-29 10:22:18"
826,20240102,151,250112,100,식량작물,고구마,4000.0,retail,"2026-01-29 10:22:18"
827,20240102,151,310001,100,식량작물,고구마,4330.0,retail,"2026-01-29 10:22:18"
828,20240102,151,320001,100,식량작물,고구마,4500.0,retail,"2026-01-29 10:22:18"
829,20240102,151,350001,100,식량작물,고구마,4000.0,retail,"2026-01-29 10:22:18"
830,20240102,151,380001,100,식량작물,고구마,4260.0,retail,"2026-01-29 10:22:18"
831,20240102,151,260001,100,식량작물,고구마,4400.0,retail,"2026-01-29 10:22:18"
832,20240102,151,110213,100,식량작물,고구마,5000.0,retail,"2026-01-29 10:22:18"
833,20240102,151,360402,100,식량작물,고구마,4000.0,retail,"2026-01-29 10:22:18"
