"item_cd","item_nm","ctgry_cd","ctgry_nm","first_seen","last_updated"
816,간장,800,식품,"2026-01-29 19:22:19","2026-01-29 19:22:19"
817,맛김(조미김),800,식품,"2026-01-29 19:22:19","2026-01-29 19:22:19"
818,콩나물,800,식품,"2026-01-29 19:22:19","2026-01-29 19:22:19"
430,아보카도,400,과일류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
619,물오징어,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
613,갈치,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
615,명태,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
614,조기,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
279,알배기배추,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
280,브로콜리,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
144,메밀,100,식량작물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
244,피마늘,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
639,북어,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
640,마른오징어,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
616,삼치,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
